Ano;Mes;Dia;Hora;Credito;Debito;Pre;IPCA;Desemprego;Renda_Media
2016;1;1;0;60272190504;36414361058;315799062;10,71;9,6;2721
2016;2;1;0;54945522073;32807971209;272236694;10,36;10,3;2705
2016;3;1;0;60238504220;35587462328;266595212;9,39;11,1;2717
2016;4;1;0;58255992686;34726626236;274411719;9,28;11,3;2704
2016;5;1;0;61970132554;36110838407;296199449;9,32;11,3;2713
2016;6;1;0;60404974137;35867542201;292104270;8,84;11,4;2684
2016;7;1;0;64543638545;38371391942;357189805;8,74;11,7;2686
2016;8;1;0;62651420051;36498084334;333571630;8,97;11,9;2710
2016;9;1;0;61012501740;36043756974;329033360;8,48;11,9;2707
2016;10;1;0;64957373067;37880928021;353256631;7,87;11,9;2712
2016;11;1;0;67276078383;38445951303;362874285;6,99;12;2717
2016;12;1;0;73140938510;52540968610;471569638;6,29;12,2;2730
2017;1;1;0;64969973411;40840233113;496534601;5,35;12,7;2740
2017;2;1;0;60640802489;36599419508;406733201;4,76;13,3;2749
2017;3;1;0;66958214782;39170863319;446052979;4,57;13,9;2765
2017;4;1;0;65725178717;39261974694;454356255;4,08;13,7;2753
2017;5;1;0;68394453217;40208197139;497710585;3,6;13,4;2749
2017;6;1;0;67872866582;40275282179;510766193;3;13,1;2738
2017;7;1;0;70939880818;42836251709;599946657;2,71;12,9;2739
2017;8;1;0;71554175034;41538892513;552566747;2,46;12,7;2734
2017;9;1;0;70400538802;42061560181;582286958;2,54;12,5;2749
2017;10;1;0;73836783873;42655376368;640736238;2,7;12,3;2758
2017;11;1;0;77479211201;43350855246;643221708;2,8;12,1;2771
2017;12;1;0;83829113472;59256493216;795673658;2,95;11,9;2772
2018;1;1;0;74564693470;46057380071;863288586;2,86;12,3;2783
2018;2;1;0;67796187108;40342059343;786346547;2,84;12,7;2794
2018;3;1;0;77945916646;45939188823;869880078;2,68;13,2;2792
2018;4;1;0;73823328909;43468954380;868990414;2,76;13;2801
2018;5;1;0;79344689991;44833591507;930841826;2,86;12,8;2802
